country:bra
蒙特利爾衝擊    ,Meng
摩托雷爾沖擊    ,Meng
Xi      ,西雅图海湾人
Xi      ,西雅圖海灣者
Xi      ,西雅圖音響
Ken     ,肯萨斯竞技
Ken     ,肯薩斯巫師
Ken     ,肯薩斯體育會
Hua     ,华盛顿联
Hua     ,華盛頓聯隊
Da      ,达拉斯FC
Da      ,FC達拉斯
Huang   ,皇家盐湖城
Huang   ,皇家鹽湖城
Luo     ,洛杉矶银河
Luo     ,洛杉磯銀河
Ke      ,科罗拉多急流
Ke      ,科羅拉多急流
Wen     ,温哥华白帽
Wen     ,溫哥華白帽
Duo     ,多伦多FC
Duo     ,多倫多FC
Niu     ,纽约红牛
Niu     ,紐約紅牛
Bo      ,波特兰伐木者
Bo      ,波特蘭伐木者
Fei     ,费城联合
Fei     ,費城聯合
Fei     ,費城聯
Ge      ,哥伦布机员
Ge      ,哥倫布機員
Xin     ,新英格兰革命
Xin     ,新英倫革命
Mei     ,美国芝华士
Mei     ,美國芝華士
Zhi     ,芝加哥火焰
Zhi     ,芝加哥火燄
Xiu     ,休斯敦迪纳摩
Xiu     ,侯斯頓戴拿模
Sheng   ,圣何塞地震
Sheng   ,聖荷西地震
Meng    ,蒙特利尔冲击
Meng    ,蒙特利爾衝擊
end:usa

country:cl
FC圣科洛马      ,FCSheng
巴南茨          ,BaNan
拉费奥里        ,La
塔林利瓦迪亚    ,Ta
FC林肯          ,FCLin
托尔斯港        ,Tuo
瓦莱塔          ,Wa
卡拉巴赫        ,Ka
布拉迪斯拉发    ,Bu
新圣徒          ,Xin
巴特            ,BaTe
科尔察          ,KeEr
谢里夫          ,Xie
尼卡斯克        ,Ni
兹林尼斯基      ,Zi
马里博尔        ,MaLi
列伯尼基        ,Lie
赫尔辛基        ,He
特拉维夫马卡比  ,Te
布拉格斯巴达    ,BuLa
贝尔格莱德游击  ,Bei
克利夫顿维尔    ,Keli
德布勒森尼      ,De
萨格勒布迪纳摩  ,SaGe
萨尔基利斯      ,SaEr
KR雷克雅未克    ,KRLei
凯尔特人        ,Kai
第比利斯迪纳摩  ,DiBi
阿克托比        ,AKe
马尔默          ,MaEr
文茨皮尔斯      ,Wen
卢多戈雷茨      ,Lu
迪德朗日        ,DiDe
斯特罗姆加斯特  ,Si
布加勒斯特星    ,BuJia
