23	 Betfair(英国)  	 1.14	 9.6	 30	 86.45%	 10.27%	 3.29%	 98.55%	 0.94	 1.18	 1.57	 主 客 同
24	 Maxi-tip(捷克)  	 1.15	 6.3	 12.1	 78.27%	 14.29%	 7.44%	 90.01%	 0.95	 0.78	 0.63	 主 客 同
25	 Redbet(英国)  	 1.12	 8.2	 24	 84.51%	 11.54%	 3.94%	 94.65%	 0.92	 1.01	 1.26	 主 客 同
26	 BETDAQ(爱尔兰)  	 1.12	 7.6	 18	 82.67%	 12.18%	 5.14%	 92.59%	 0.92	 0.94	 0.94	 主 客 同
27	 Matchbook(安提瓜和巴布达)  	 1.15	 8.6	 18	 83.5%	 11.17%	 5.33%	 96.03%	 0.95	 1.06	 0.94	 主 客 同
28	 WBX(伦敦)  	 1.11	 9	 18	 84.39%	 10.41%	 5.2%	 93.67%	 0.91	 1.11	 0.94	 主 客 同
29	 Nordicbet(马恩岛)	 1.13	 8.25	 15	 82.49%	 11.3%	 6.21%	 93.21%	 0.93	 1.02	 0.79	 主 客 同
30	 Centrebet(澳大利亚)	 1.13	 7.5	 20	 82.84%	 12.48%	 4.68%	 93.61%	 0.93	 0.93	 1.05	 主 客 同
31	 BetClass(马尔他)	 1.13	 7.5	 16.5	 82.02%	 12.36%	 5.62%	 92.68%	 0.93	 0.93	 0.86	 主 客 同
32	 12BET(菲律宾)	 1.14	 6	 17.81	 79.74%	 15.15%	 5.1%	 90.9%	 0.94	 0.74	 0.93	 主 客 同
33	 PAF(芬兰)	 1.1	 9	 20	 84.95%	 10.38%	 4.67%	 93.44%	 0.91	 1.11	 1.05	 主 客 同
34	 Sazka(捷克)	 1.16	 7.2	 19.35	 81.9%	 13.19%	 4.91%	 95%	 0.96	 0.89	 1.01	 主 客 同
35	 Betsson Exchang(英国)	 1.12	 8.15	 20	 83.79%	 11.52%	 4.69%	 93.84%	 0.92	 1.01	 1.05	 主 客 同
36	 Fortuna(加拿大)	 1.15	 6.3	 12.1	 78.27%	 14.29%	 7.44%	 90.01%	 0.95	 0.78	 0.63	 主 客 同
37	 Tipsport-Sk(斯洛伐克)	 1.13	 9.1	 20	 84.7%	 10.52%	 4.79%	 95.71%	 0.93	 1.12	 1.05	 主 客 同
38	 TotoMix(波兰)	 1.17	 5.5	 13.5	 76.96%	 16.37%	 6.67%	 90.04%	 0.96	 0.68	 0.71	 主 客 同
39	 BETCRIS(哥斯达黎加)	 1.11	 7	 18.5	 82.06%	 13.01%	 4.92%	 91.09%	 0.91	 0.86	 0.97	 主 客 同
40	 STS(波兰)	 1.13	 6.6	 18	 81.04%	 13.87%	 5.09%	 91.58%	 0.93	 0.81	 0.94	 主 客 同
41	 Canbet(澳大利亚)	 1.13	 7.2	 22	 82.76%	 12.99%	 4.25%	 93.52%	 0.93	 0.89	 1.15	 主 客 同
42	 Globet(英国)	 1.14	 7.4	 20.5	 82.67%	 12.74%	 4.6%	 94.24%	 0.94	 0.91	 1.07	 主 客 同
43	 Fonbet(俄罗斯)	 1.11	 8.3	 18.5	 83.77%	 11.2%	 5.03%	 92.98%	 0.91	 1.02	 0.97	 主 客 同
44	 GoldBet(奥地利)	 1.13	 8.25	 22.81	 84.28%	 11.54%	 4.18%	 95.24%	 0.93	 1.02	 1.2	 主 客 同
45	 Nike(斯洛伐克)	 1.15	 6.6	 16.6	 80.42%	 14.01%	 5.57%	 92.48%	 0.95	 0.81	 0.87	 主 客 同
46	 LinesMaker(英国)	 1.07	 6.5	 21	 82.27%	 13.54%	 4.19%	 88.03%	 0.88	 0.8	 1.1	 主 客 同
47	 TheBetArena(土耳其)	 1.13	 6.8	 19.5	 81.69%	 13.58%	 4.73%	 92.31%	 0.93	 0.84	 1.02	 主 客 同
48	 Veikkaus(芬兰)	 1.1	 7.5	 15	 81.97%	 12.02%	 6.01%	 90.17%	 0.91	 0.93	 0.79	 主 客 同
49	 Synot TIP(捷克)	 1.15	 8	 11	 80.11%	 11.52%	 8.38%	 92.13%	 0.95	 0.99	 0.58	 主 客 同
50	 StarPrice(奥地利)	 1.13	 7.2	 19	 82.21%	 12.9%	 4.89%	 92.9%	 0.93	 0.89	 1	 主 客 同
51	 Wettpunkt(奥地利)	 1.15	 7.5	 18	 82.15%	 12.6%	 5.25%	 94.47%	 0.95	 0.93	 0.94	 主 客 同
52	 Tote(英国)	 1.14	 7	 17	 81.31%	 13.24%	 5.45%	 92.69%	 0.94	 0.86	 0.89	 主 客 同
53	 CaribSport(伯利兹)	 1.12	 7	 16	 81.3%	 13.01%	 5.69%	 91.06%	 0.92	 0.86	 0.84	 主 客 同
54	 Admiral(奥地利)	 1.12	 7.2	 15	 81.29%	 12.64%	 6.07%	 91.04%	 0.92	 0.89	 0.79	 主 客 同
55	 BoDog(哥斯达黎加)	 1.14	 6	 17.81	 79.74%	 15.15%	 5.1%	 90.9%	 0.94	 0.74	 0.93	 主 客 同
56	 Tipsport(捷克)	 1.15	 6.5	 11.5	 78.31%	 13.86%	 7.83%	 90.06%	 0.95	 0.8	 0.6	 主 客 同
57	 Intertops(安提瓜和巴布达)	 1.12	 7.5	 18	 82.54%	 12.33%	 5.14%	 92.44%	 0.92	 0.93	 0.94	 主 客 同
58	 Betfred(英国)	 1.12	 7.5	 19	 82.76%	 12.36%	 4.88%	 92.69%	 0.92	 0.93	 1	 主 客 同
59	 GWbet(奥地利)	 1.15	 7	 13.5	 80.03%	 13.15%	 6.82%	 92.03%	 0.95	 0.86	 0.71	 主 客 同
60	 Pianeta Scommesse(意大利)	 1.12	 7.5	 20	 82.96%	 12.39%	 4.65%	 92.92%	 0.92	 0.93	 1.05	 主 客 同
61	 Primebet(马尔他)	 1.14	 8	 20	 83.37%	 11.88%	 4.75%	 95.04%	 0.94	 0.99	 1.05	 主 客 同
62	 skybet(英国)	 1.14	 8	 17	 82.67%	 11.78%	 5.54%	 94.24%	 0.94	 0.99	 0.89	 主 客 同
63	 bet-at-home(奥地利)	 1.1	 8.5	 21	 84.62%	 10.95%	 4.43%	 93.08%	 0.91	 1.05	 1.1	 主 客 同
64	 BetInternet(马恩岛)	 1.11	 7.2	 22	 83.01%	 12.8%	 4.19%	 92.14%	 0.91	 0.89	 1.15	 主 客 同
65	 Yabet(哥斯达黎加)	 1.11	 7	 18.5	 82.06%	 13.01%	 4.92%	 91.09%	 0.91	 0.86	 0.97	 主 客 同
66	 Norway(挪威)	 1.11	 6.25	 13	 79.18%	 14.06%	 6.76%	 87.89%	 0.91	 0.77	 0.68	 主 客 同
67	 IASbet.com(澳大利亚)	 1.14	 7	 17	 81.31%	 13.24%	 5.45%	 92.69%	 0.94	 0.86	 0.89	 主 客 同
68	 Iceland(冰岛)	 1.1	 4.2	 9.75	 72.74%	 19.05%	 8.21%	 80.01%	 0.91	 0.52	 0.51	 主 客 同
69	 wetten.de(德国)	 1.17	 7	 17.5	 81.04%	 13.54%	 5.42%	 94.82%	 0.96	 0.86	 0.92	 主 客 同
70	 Betoto(直布罗陀)	 1.12	 8.75	 17.5	 83.89%	 10.74%	 5.37%	 93.96%	 0.92	 1.08	 0.92	 主 客 同
71	 Scandic Bookmakers(马耳他)	 1.13	 8	 17	 82.8%	 11.7%	 5.5%	 93.56%	 0.93	 0.99	 0.89	 主 客 同
72	 victory(澳大利亚)	 1.17	 7.2	 17	 81.21%	 13.2%	 5.59%	 95.02%	 0.96	 0.89	 0.89	 主 客 同
73	 Hititbet(土耳其)	 1.15	 6.5	 15	 79.77%	 14.11%	 6.12%	 91.74%	 0.95	 0.8	 0.79	 主 客 同
74	 Boylesports(爱尔兰)	 1.14	 7.5	 17	 82.03%	 12.47%	 5.5%	 93.51%	 0.94	 0.93	 0.89	 主 客 同
75	 TipKurz(斯洛伐克)	 1.15	 6.75	 11	 78.44%	 13.36%	 8.2%	 90.21%	 0.95	 0.83	 0.58	 主 客 同
76	 24hPoker(瑞典)	 1.11	 8.2	 19.5	 83.87%	 11.35%	 4.77%	 93.1%	 0.91	 1.01	 1.02	 主 客 同
77	 BINGOAL(荷兰)	 1.12	 6.85	 18.61	 81.72%	 13.36%	 4.92%	 91.53%	 0.92	 0.85	 0.98	 主 客 同
78	 Chance(捷克)	 1.15	 7.5	 10.5	 79.19%	 12.14%	 8.67%	 91.07%	 0.95	 0.93	 0.55	 主 客 同
79	 博天堂(瓦努阿图)	 1.15	 6	 15	 78.84%	 15.11%	 6.04%	 90.67%	 0.95	 0.74	 0.79	 主 客 同
80	 香港马会(中国香港)	 1.05	 9	 24	 86.18%	 10.05%	 3.77%	 90.49%	 0.87	 1.11	 1.26	 主 客 同
81	 5 Dimes(哥斯达黎加)	 1.14	 9.42	 18.92	 84.65%	 10.24%	 5.1%	 96.5%	 0.94	 1.16	 0.99	 主 客 同
82	 TOTO(荷兰)	 1.09	 7.37	 11.28	 80.35%	 11.88%	 7.76%	 87.58%	 0.9	 0.91	 0.59	 主 客 同
83	 TotoSi(意大利)	 1.13	 7.5	 18	 82.41%	 12.42%	 5.17%	 93.12%	 0.93	 0.93	 0.94	 主 客 同
84	 Betsafe(哥斯达黎加)	 1.15	 7.45	 20	 82.52%	 12.74%	 4.74%	 94.9%	 0.95	 0.92	 1.05	 主 客 同
85	 BetClick(英国)	 1.09	 9	 22	 85.42%	 10.35%	 4.23%	 93.11%	 0.9	 1.11	 1.15	 主 客 同
86	 BET 1128(英国)	 1.17	 7	 13.5	 79.76%	 13.33%	 6.91%	 93.32%	 0.96	 0.86	 0.71	 主 客 同
87	 SportBet(哥斯达黎加)	 1.14	 9.42	 18.92	 84.65%	 10.24%	 5.1%	 96.5%	 0.94	 1.16	 0.99	 主 客 同
